 13/09-10:27:30.030   	Copelabs4	7a:4b:87:e3:44:04	11.404119792012981
 13/09-10:28:30.030   	Copelabs4	7a:4b:87:e3:44:04	11.404119792012981
 13/09-10:29:30.030   	Copelabs4	7a:4b:87:e3:44:04	11.404119792012981
 13/09-10:30:30.030   	Copelabs4	7a:4b:87:e3:44:04	9.30175141849912
 13/09-10:31:30.030   	Copelabs4	7a:4b:87:e3:44:04	9.30175141849912
 13/09-10:32:30.030   	Copelabs4	7a:4b:87:e3:44:04	9.30175141849912
 13/09-10:33:30.030   	Copelabs4	7a:4b:87:e3:44:04	9.30175141849912
 13/09-10:34:30.030   	Copelabs4	7a:4b:87:e3:44:04	9.30175141849912
 13/09-10:35:30.030   	Copelabs4	7a:4b:87:e3:44:04	9.30175141849912
 13/09-10:36:33.033   	Copelabs4	7a:4b:87:e3:44:04	9.30175141849912
 13/09-10:37:33.033   	Copelabs4	7a:4b:87:e3:44:04	9.30175141849912
 13/09-10:38:34.034   	Copelabs4	7a:4b:87:e3:44:04	-1.0
 13/09-10:39:34.034   	Copelabs4	7a:4b:87:e3:44:04	-1.0
 13/09-10:40:34.034   	Copelabs4	7a:4b:87:e3:44:04	-1.0
 13/09-10:41:34.034   	Copelabs4	7a:4b:87:e3:44:04	-1.0
 13/09-10:42:34.034   	Copelabs4	7a:4b:87:e3:44:04	-1.0
 13/09-10:43:34.034   	Copelabs4	7a:4b:87:e3:44:04	-1.0
 13/09-10:44:34.034   	Copelabs4	7a:4b:87:e3:44:04	4.986993647734948
 13/09-10:45:34.034   	Copelabs4	7a:4b:87:e3:44:04	5.4514757319323
 13/09-10:46:35.035   	Copelabs4	7a:4b:87:e3:44:04	5.4514757319323
 13/09-10:47:35.035   	Copelabs4	7a:4b:87:e3:44:04	5.4514757319323
 13/09-10:48:35.035   	Copelabs4	7a:4b:87:e3:44:04	5.4514757319323
 13/09-10:49:35.035   	Copelabs4	7a:4b:87:e3:44:04	6.001512832602467
 13/09-10:50:35.035   	Copelabs4	7a:4b:87:e3:44:04	11.377832459420748
 13/09-10:51:35.035   	Copelabs4	7a:4b:87:e3:44:04	11.377832459420748
 13/09-10:52:35.035   	Copelabs4	7a:4b:87:e3:44:04	10.193144554289946
 13/09-10:53:35.035   	Copelabs4	7a:4b:87:e3:44:04	12.423990174027505
 13/09-10:54:35.035   	Copelabs4	7a:4b:87:e3:44:04	11.60470494312553
 13/09-10:55:35.035   	Copelabs4	7a:4b:87:e3:44:04	12.079520151048811
 13/09-10:56:36.036   	Copelabs4	7a:4b:87:e3:44:04	9.978339484072373
 13/09-10:57:36.036   	Copelabs4	7a:4b:87:e3:44:04	9.978339484072373
 13/09-10:58:36.036   	Copelabs4	7a:4b:87:e3:44:04	9.018918456766714
